Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,306.8907,109.0004,10000.0,0.0,0.0,3.1547,11724.6784,1724.6784,3.0137,27.0384,26.0429,24.0247,242,30.0,7.1268,0.1076,0.0001,0.0001,823.2
DCA every 7 days,306.8907,109.0004,10000.0,0.0,0.0,3.1594,11742.398,1742.398,3.1904,27.3216,26.3104,24.1313,35,30.0,49.7828,0.7517,0.0014,0.0012,823.2
DCA every 14 days,306.8907,109.0004,10000.0,0.0,0.0,3.1042,11537.3124,1537.3124,0.2483,22.8603,23.2136,22.612,18,30.0,85.4062,1.2896,-0.0202,-0.0176,823.2
DCA every 28 days,306.8907,109.0004,10000.0,0.0,0.0,3.2144,11946.8869,1946.8869,8.3058,29.8385,29.3982,21.5327,9,30.0,216.3208,3.2665,0.0394,0.0337,823.2
All in,306.8907,109.0004,10000.0,0.0,0.0,2.924,10867.3415,867.3415,-51.1436,-8.4256,13.097,42.718,1,30.0,867.3415,13.097,-0.1281,-0.123,823.2
All in top,306.8907,109.0004,10000.0,0.0,0.0,2.0502,7619.8851,-2380.1149,-5.1133,0.0,-35.94,5.1133,1,30.0,-2380.1149,-35.94,-0.7673,-0.9565,823.2
All in bottom,306.8907,109.0004,10000.0,0.0,0.0,5.8414,21710.3425,11710.3425,187.5952,218.6402,176.8276,31.045,1,30.0,11710.3425,176.8276,1.5709,undefined,823.2
