Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,-1384.5598,59.394,10000.0,0.0,0.0,3.7698,7634.5567,-2365.4433,-97.7026,-127.8453,-108.5798,-30.1427,80,30.0,-29.568,-1.3572,-0.4337,-0.5754,633.59
DCA every 7 days,-1384.5598,59.394,10000.0,0.0,0.0,3.7972,7689.99,-2310.01,-99.1909,-126.7061,-106.0352,-27.5152,12,30.0,-192.5008,-8.8363,-0.4495,-0.5852,633.59
DCA every 14 days,-1384.5598,59.394,10000.0,0.0,0.0,3.68,7452.6438,-2547.3562,-102.3972,-133.2614,-116.93,-30.8642,6,30.0,-424.5594,-19.4883,-0.4616,-0.6037,633.59
DCA every 28 days,-1384.5598,59.394,10000.0,0.0,0.0,3.8214,7738.9371,-2261.0629,-73.0462,-104.9816,-103.7884,-31.9354,3,30.0,-753.6876,-34.5961,-0.3445,-0.439,633.59
All in,-1384.5598,59.394,10000.0,0.0,0.0,2.924,5921.5787,-4078.4213,-164.6816,-235.7897,-187.2097,-71.1081,1,30.0,-4078.4213,-187.2097,-0.233,-0.2899,633.59
All in top,-1384.5598,59.394,10000.0,0.0,0.0,2.2822,4621.8177,-5378.1823,-392.7168,-384.6212,-246.872,8.0956,1,30.0,-5378.1823,-246.872,-1.819,-2.1781,633.59
All in bottom,-1384.5598,59.394,10000.0,0.0,0.0,5.8414,11829.8944,1829.8944,42.6649,0.0,83.9967,-42.6649,1,30.0,1829.8944,83.9967,0.6124,undefined,633.59
