Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,1286.6347,274.2121,10000.0,0.0,0.0,7.7693,15734.2034,5734.2034,302.0539,257.5032,103.3341,-44.5507,203,30.0,28.2473,0.509,1.1675,0.1499,663.93
DCA every 7 days,1286.6347,274.2121,10000.0,0.0,0.0,7.7387,15672.166,5672.166,297.1239,254.6103,102.2162,-42.5136,29,30.0,195.5919,3.5247,1.1649,0.1475,663.93
DCA every 14 days,1286.6347,274.2121,10000.0,0.0,0.0,7.7523,15699.7979,5699.7979,295.674,253.4657,102.7141,-42.2083,15,30.0,379.9865,6.8476,1.1615,0.1467,663.93
DCA every 28 days,1286.6347,274.2121,10000.0,0.0,0.0,7.8974,15993.7449,5993.7449,298.8294,258.4069,108.0112,-40.4225,8,30.0,749.2181,13.5014,1.1792,0.1483,663.93
All in,1286.6347,274.2121,10000.0,0.0,0.0,13.4995,27338.9508,17338.9508,862.5143,695.5405,312.4593,-166.9737,1,30.0,17338.9508,312.4593,1.0341,0.129,663.93
All in top,1286.6347,274.2121,10000.0,0.0,0.0,2.2822,4621.8177,-5378.1823,-34.2665,0.0,-96.9184,34.2665,1,30.0,-5378.1823,-96.9184,-0.7751,-1.7937,663.93
All in bottom,1286.6347,274.2121,10000.0,0.0,0.0,13.9127,28175.774,18175.774,930.0985,730.4357,327.5394,-199.6628,1,30.0,18175.774,327.5394,1.3343,undefined,663.93
