Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,3280.589,2621.8648,10000.0,0.0,0.0,44.9195,153205.7791,143205.7791,228.7084,140.7004,1069.4045,-88.008,490,30.0,292.2567,2.1825,0.96,0.6556,682.82
DCA every 7 days,3280.589,2621.8648,10000.0,0.0,0.0,44.7988,152794.0673,142794.0673,227.2083,139.2828,1066.33,-87.9255,70,30.0,2039.9152,15.2333,0.9551,0.6581,682.82
DCA every 14 days,3280.589,2621.8648,10000.0,0.0,0.0,44.4626,151647.5046,141647.5046,223.9309,136.571,1057.7679,-87.3599,35,30.0,4047.0716,30.2219,0.9458,0.6679,682.82
DCA every 28 days,3280.589,2621.8648,10000.0,0.0,0.0,44.5311,151881.1764,141881.1764,224.9004,137.1858,1059.5129,-87.7146,18,30.0,7882.2876,58.8618,0.9506,0.6493,682.82
All in,3280.589,2621.8648,10000.0,0.0,0.0,76.6417,261399.9238,251399.9238,470.9327,326.5255,1877.3559,-144.4072,1,30.0,251399.9238,1877.3559,1.0185,0.2915,682.82
All in top,3280.589,2621.8648,10000.0,0.0,0.0,2.8889,9853.2375,-146.7625,-0.0026,0.0,-1.096,0.0026,1,30.0,-146.7625,-1.096,-32.2094,-2.8651,682.82
All in bottom,3280.589,2621.8648,10000.0,0.0,0.0,111.6911,380941.9721,370941.9721,645.1044,416.5456,2770.0489,-228.5588,1,30.0,370941.9721,2770.0489,1.0967,undefined,682.82
