Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,1991.045,240.251,10000.0,0.0,0.0,30.5068,104048.8671,94048.8671,-17.6283,-19.6219,284.6831,-1.9936,1207,30.0,77.9195,0.2359,-0.1651,-0.1629,503.92
DCA every 7 days,1991.045,240.251,10000.0,0.0,0.0,30.4162,103739.8444,93739.8444,-17.7091,-19.6361,283.7477,-1.927,173,30.0,541.8488,1.6402,-0.1659,-0.1636,503.92
DCA every 14 days,1991.045,240.251,10000.0,0.0,0.0,30.2224,103078.8199,93078.8199,-17.708,-19.6339,281.7468,-1.9259,87,30.0,1069.8715,3.2385,-0.1662,-0.1637,503.92
DCA every 28 days,1991.045,240.251,10000.0,0.0,0.0,30.1398,102797.0769,92797.0769,-17.2473,-19.1889,280.894,-1.9416,44,30.0,2109.0245,6.384,-0.1627,-0.1601,503.92
All in,1991.045,240.251,10000.0,0.0,0.0,7.023,23953.0252,13953.0252,-102.9809,-52.7555,42.2354,50.2254,1,30.0,13953.0252,42.2354,-0.2843,-0.2745,503.92
All in top,1991.045,240.251,10000.0,0.0,0.0,2.8889,9853.2375,-146.7625,-0.0004,0.0,-0.4442,0.0004,1,30.0,-146.7625,-0.4442,-123.2009,-6.7439,503.92
All in bottom,1991.045,240.251,10000.0,0.0,0.0,121.8823,415700.9739,405700.9739,123.4906,66.9272,1228.0448,-56.5634,1,30.0,405700.9739,1228.0448,0.6262,undefined,503.92
