Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,1693.7571,183.7303,10000.0,0.0,0.0,3.4485,12816.9341,2816.9341,176.09,155.0786,63.3886,-21.0114,163,30.0,17.2818,0.3889,0.9551,0.0404,637.56
DCA every 7 days,1693.7571,183.7303,10000.0,0.0,0.0,3.413,12684.6834,2684.6834,170.9295,150.3746,60.4126,-20.5549,24,30.0,111.8618,2.5172,0.9302,0.0392,637.56
DCA every 14 days,1693.7571,183.7303,10000.0,0.0,0.0,3.3563,12474.2918,2474.2918,164.1215,143.361,55.6782,-20.7605,12,30.0,206.191,4.6399,0.8941,0.0376,637.56
DCA every 28 days,1693.7571,183.7303,10000.0,0.0,0.0,3.307,12290.8662,2290.8662,157.8562,138.1748,51.5507,-19.6814,6,30.0,381.811,8.5918,0.8603,0.0361,637.56
All in,1693.7571,183.7303,10000.0,0.0,0.0,4.9286,18317.9086,8317.9086,490.0416,396.7918,187.1754,-93.2498,1,30.0,8317.9086,187.1754,0.8082,0.0339,637.56
All in top,1693.7571,183.7303,10000.0,0.0,0.0,2.0502,7619.8851,-2380.1149,-11.9996,0.0,-53.559,11.9996,1,30.0,-2380.1149,-53.559,-0.7901,-1.1777,637.56
All in bottom,1693.7571,183.7303,10000.0,0.0,0.0,4.9843,18524.6756,8524.6756,501.403,403.5397,191.8282,-97.8633,1,30.0,8524.6756,191.8282,1.6972,undefined,637.56
