Strategy,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1 day,-1287.7728,9.2881,10000.0,0.0,0.0,25.9311,3419.1954,-6580.8046,-100.5626,-72.4585,-68.2456,28.1041,353,30.0,-18.6425,-0.1933,-0.5265,-0.5265,278.36
DCA every 7 days,-1287.7728,9.2881,10000.0,0.0,0.0,26.0865,3439.6867,-6560.3133,-100.7638,-72.3595,-68.0331,28.4043,51,30.0,-128.6336,-1.334,-0.5283,-0.5283,278.36
DCA every 14 days,-1287.7728,9.2881,10000.0,0.0,0.0,26.6117,3508.9365,-6491.0635,-99.2067,-71.169,-67.315,28.0377,26,30.0,-249.6563,-2.589,-0.5207,-0.5206,278.36
DCA every 28 days,-1287.7728,9.2881,10000.0,0.0,0.0,27.0926,3572.3504,-6427.6496,-96.7461,-71.2245,-66.6573,25.5216,13,30.0,-494.4346,-5.1275,-0.508,-0.508,278.36
All in,-1287.7728,9.2881,10000.0,0.0,0.0,7.023,926.0261,-9073.9739,-256.3812,-140.8578,-94.1008,115.5233,1,30.0,-9073.9739,-94.1008,-0.3908,-0.3908,278.36
All in top,-1287.7728,9.2881,10000.0,0.0,0.0,7.0139,924.8359,-9075.1641,-250.9941,-140.9121,-94.1131,110.082,1,30.0,-9075.1641,-94.1131,-0.6563,-0.6562,278.36
All in bottom,-1287.7728,9.2881,10000.0,0.0,0.0,121.8823,16071.0376,6071.0376,2.0928,0.0,62.9591,-2.0928,1,30.0,6071.0376,62.9591,-0.0843,undefined,278.36
