Strategy,Price_Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Total Value % Increase,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 1.0 hour,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,7.0024,26025.4121,160.2541,16025.4121,247.2021,214.5984,160.3645,-32.6037,8760,30.0,1.8294,0.0183,1.2579,0.1224,1025.37
DCA every 1 day,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,6.9947,25996.6952,159.967,15996.6952,246.6288,214.1675,160.0771,-32.4613,365,30.0,43.8266,0.4386,1.2572,0.1222,1025.37
DCA every 7 days,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,6.9558,25852.1101,158.5211,15852.1101,244.0143,212.2932,158.6303,-31.7211,53,30.0,299.0964,2.993,1.2552,0.1208,1025.37
DCA every 14 days,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,6.9546,25847.6238,158.4762,15847.6238,243.4781,211.9855,158.5854,-31.4926,27,30.0,586.949,5.8735,1.254,0.1206,1025.37
DCA every 28 days,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,6.975,25923.3416,159.2334,15923.3416,245.171,214.2002,159.3431,-30.9708,14,30.0,1137.3815,11.3816,1.2661,0.1214,1025.37
DCA every 1.0 hour,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,3.4208,6129.5936,-38.7041,-3870.4064,-62.8276,-61.3919,-89.2673,1.4356,3801,30.0,-1.0183,-0.0235,-0.4571,-0.4464,493.64
DCA every 1 day,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,3.4239,6135.2816,-38.6472,-3864.7184,-62.3911,-61.006,-89.1361,1.3851,159,30.0,-24.3064,-0.5606,-0.4545,-0.4436,493.64
DCA every 7 days,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,3.4521,6185.7579,-38.1424,-3814.2421,-59.2731,-58.2762,-87.972,0.9969,23,30.0,-165.8366,-3.8249,-0.4359,-0.4241,493.64
DCA every 14 days,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,3.464,6207.1314,-37.9287,-3792.8686,-59.6654,-58.8687,-87.479,0.7967,12,30.0,-316.0724,-7.2899,-0.439,-0.4272,493.64
DCA every 28 days,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,3.4711,6219.7593,-37.8024,-3780.2407,-52.2059,-47.0779,-87.1877,5.128,6,30.0,-630.0401,-14.5313,-0.3883,-0.3749,493.64
DCA every 1.0 hour,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,25.8701,3411.1574,-65.8884,-6588.8426,-100.8963,-72.5934,-68.329,28.3029,8453,30.0,-0.7795,-0.0081,-0.5277,-0.5277,278.36
DCA every 1 day,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,25.9311,3419.1954,-65.808,-6580.8046,-100.5626,-72.4585,-68.2456,28.1041,353,30.0,-18.6425,-0.1933,-0.5265,-0.5265,278.36
DCA every 7 days,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,26.0865,3439.6867,-65.6031,-6560.3133,-100.7638,-72.3595,-68.0331,28.4043,51,30.0,-128.6336,-1.334,-0.5283,-0.5283,278.36
DCA every 14 days,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,26.6117,3508.9365,-64.9106,-6491.0635,-99.2067,-71.169,-67.315,28.0377,26,30.0,-249.6563,-2.589,-0.5207,-0.5206,278.36
