Strategy,Price_Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Total Value % Increase,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
All in top,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,27.3864,3529.9284,-64.7007,-6470.0716,-33.3158,-35.3147,-64.8046,-1.9989,1,30.0,-6470.0716,-64.8046,-1.0945,-3.4081,50.43
All in top,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,2.2822,4621.8177,-53.7818,-5378.1823,-34.2665,0.0,-96.9184,34.2665,1,30.0,-5378.1823,-96.9184,-0.7751,-1.7937,663.93
All in bottom,2018-2021_price_data.csv,2963.4641,493.4676,10000.0,0.0,0.0,121.8823,452991.5017,4429.915,442991.5017,275.8123,76.4979,1107.4798,-199.3144,1,30.0,442991.5017,1107.4798,0.6796,None,1194.43
All in bottom,2018_price_data.csv,-618.9297,17.8229,10000.0,0.0,0.0,121.8823,16361.0261,63.6103,6361.0261,2.0057,0.0,63.6541,-2.0057,1,30.0,6361.0261,63.6541,-0.0959,None,296.85
All in bottom,2019-2021_price_data.csv,3582.2565,2765.8943,10000.0,0.0,0.0,111.6911,415114.4376,4051.1444,405114.4376,431.619,111.2671,1350.0751,-320.3519,1,30.0,405114.4376,1350.0751,0.7621,None,1334.9
All in bottom,2019_price_data.csv,-4.2804,96.8145,10000.0,0.0,0.0,98.3973,12800.8067,28.0081,2800.8067,165.6671,152.5021,28.0274,-13.165,1,30.0,2800.8067,28.0274,1.37,None,50.43
All in bottom,2020-2021_price_data.csv,3586.5442,2857.0597,10000.0,0.0,0.0,111.6911,415114.4376,4051.1444,405114.4376,1134.9504,724.9062,2024.1906,-410.0442,1,30.0,405114.4376,2024.1906,1.2838,None,1434.12
All in bottom,2020_price_data.csv,607.4837,566.9868,10000.0,0.0,0.0,111.6911,82379.9476,723.7995,72379.9476,335.0496,369.7091,722.319,34.6595,1,30.0,72379.9476,722.319,1.6711,None,143.55
All in bottom,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,13.9127,51708.4667,417.0847,41708.4667,749.7793,582.0497,417.3719,-167.7296,1,30.0,41708.4667,417.3719,1.3392,None,1025.37
All in bottom,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,5.8224,10433.1233,4.3312,433.1233,1.1804,0.0,9.9896,-1.1804,1,30.0,433.1233,9.9896,-0.3685,None,493.64
All in bottom,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,121.8823,16071.0376,60.7104,6071.0376,2.0928,0.0,62.9591,-2.0928,1,30.0,6071.0376,62.9591,-0.0843,None,278.36
All in bottom,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,5.8414,11829.8944,18.2989,1829.8944,42.6649,0.0,83.9967,-42.6649,1,30.0,1829.8944,83.9967,0.6124,None,633.59
All in bottom,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,121.8823,415700.9739,4057.0097,405700.9739,123.4906,66.9272,1228.0448,-56.5634,1,30.0,405700.9739,1228.0448,0.6262,None,503.92
All in bottom,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,5.8414,21710.3425,117.1034,11710.3425,187.5952,218.6402,176.8276,31.045,1,30.0,11710.3425,176.8276,1.5709,None,823.2
All in bottom,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,111.6911,380941.9721,3709.4197,370941.9721,645.1044,416.5456,2770.0489,-228.5588,1,30.0,370941.9721,2770.0489,1.0967,None,682.82
