Price Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,26.0865,3439.6867,-6560.3133,-100.7638,-72.3595,-68.0331,28.4043,51,30.0,-128.6336,-1.334,-0.5283,-0.5283,278.36
High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.7972,7689.99,-2310.01,-99.1909,-126.7061,-106.0352,-27.5152,12,30.0,-192.5008,-8.8363,-0.4495,-0.5852,633.59
High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.4162,103739.8444,93739.8444,-17.7091,-19.6361,283.7477,-1.927,173,30.0,541.8488,1.6402,-0.1659,-0.1636,503.92
High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1594,11742.398,1742.398,3.1904,27.3216,26.3104,24.1313,35,30.0,49.7828,0.7517,0.0014,0.0012,823.2
Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.7988,152794.0673,142794.0673,227.2083,139.2828,1066.33,-87.9255,70,30.0,2039.9152,15.2333,0.9551,0.6581,682.82
Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.413,12684.6834,2684.6834,170.9295,150.3746,60.4126,-20.5549,24,30.0,111.8618,2.5172,0.9302,0.0392,637.56
Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.4754,8181.5505,-1818.4495,36.7582,18.6169,-18.2137,-18.1413,53,30.0,-34.3104,-0.3437,0.3132,0.2463,50.43
Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7387,15672.166,5672.166,297.1239,254.6103,102.2162,-42.5136,29,30.0,195.5919,3.5247,1.1649,0.1475,663.93
