Price Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,7.023,926.0261,-9073.9739,-256.3812,-140.8578,-94.1008,115.5233,1,30.0,-9073.9739,-94.1008,-0.3908,-0.3908,278.36
High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,2.924,5921.5787,-4078.4213,-164.6816,-235.7897,-187.2097,-71.1081,1,30.0,-4078.4213,-187.2097,-0.233,-0.2899,633.59
High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,7.023,23953.0252,13953.0252,-102.9809,-52.7555,42.2354,50.2254,1,30.0,13953.0252,42.2354,-0.2843,-0.2745,503.92
High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,2.924,10867.3415,867.3415,-51.1436,-8.4256,13.097,42.718,1,30.0,867.3415,13.097,-0.1281,-0.123,823.2
Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,76.6417,261399.9238,251399.9238,470.9327,326.5255,1877.3559,-144.4072,1,30.0,251399.9238,1877.3559,1.0185,0.2915,682.82
Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,4.9286,18317.9086,8317.9086,490.0416,396.7918,187.1754,-93.2498,1,30.0,8317.9086,187.1754,0.8082,0.0339,637.56
Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,74.1962,9563.3837,-436.6163,80.5063,47.5654,-4.3732,-32.9409,1,30.0,-436.6163,-4.3732,0.2306,0.151,50.43
Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,13.4995,27338.9508,17338.9508,862.5143,695.5405,312.4593,-166.9737,1,30.0,17338.9508,312.4593,1.0341,0.129,663.93
