Price Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,25.9311,3419.1954,-6580.8046,-100.5626,-72.4585,-68.2456,28.1041,353,30.0,-18.6425,-0.1933,-0.5265,-0.5265,278.36
High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.7698,7634.5567,-2365.4433,-97.7026,-127.8453,-108.5798,-30.1427,80,30.0,-29.568,-1.3572,-0.4337,-0.5754,633.59
High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.5068,104048.8671,94048.8671,-17.6283,-19.6219,284.6831,-1.9936,1207,30.0,77.9195,0.2359,-0.1651,-0.1629,503.92
High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1547,11724.6784,1724.6784,3.0137,27.0384,26.0429,24.0247,242,30.0,7.1268,0.1076,0.0001,0.0001,823.2
Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.9195,153205.7791,143205.7791,228.7084,140.7004,1069.4045,-88.008,490,30.0,292.2567,2.1825,0.96,0.6556,682.82
Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.4485,12816.9341,2816.9341,176.09,155.0786,63.3886,-21.0114,163,30.0,17.2818,0.3889,0.9551,0.0404,637.56
Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.6282,8201.2456,-1798.7544,36.9525,19.157,-18.0164,-17.7955,365,30.0,-4.9281,-0.0494,0.314,0.2481,50.43
Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7693,15734.2034,5734.2034,302.0539,257.5032,103.3341,-44.5507,203,30.0,28.2473,0.509,1.1675,0.1499,663.93
