Price Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,27.0926,3572.3504,-6427.6496,-96.7461,-71.2245,-66.6573,25.5216,13,30.0,-494.4346,-5.1275,-0.508,-0.508,278.36
High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.8214,7738.9371,-2261.0629,-73.0462,-104.9816,-103.7884,-31.9354,3,30.0,-753.6876,-34.5961,-0.3445,-0.439,633.59
High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.1398,102797.0769,92797.0769,-17.2473,-19.1889,280.894,-1.9416,44,30.0,2109.0245,6.384,-0.1627,-0.1601,503.92
High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.2144,11946.8869,1946.8869,8.3058,29.8385,29.3982,21.5327,9,30.0,216.3208,3.2665,0.0394,0.0337,823.2
Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.5311,151881.1764,141881.1764,224.9004,137.1858,1059.5129,-87.7146,18,30.0,7882.2876,58.8618,0.9506,0.6493,682.82
Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.307,12290.8662,2290.8662,157.8562,138.1748,51.5507,-19.6814,6,30.0,381.811,8.5918,0.8603,0.0361,637.56
Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,64.0426,8254.6626,-1745.3374,37.8759,19.1275,-17.4814,-18.7484,14,30.0,-124.667,-1.2487,0.3273,0.2533,50.43
Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.8974,15993.7449,5993.7449,298.8294,258.4069,108.0112,-40.4225,8,30.0,749.2181,13.5014,1.1792,0.1483,663.93
