Price Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,26.6117,3508.9365,-6491.0635,-99.2067,-71.169,-67.315,28.0377,26,30.0,-249.6563,-2.589,-0.5207,-0.5206,278.36
High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,3.68,7452.6438,-2547.3562,-102.3972,-133.2614,-116.93,-30.8642,6,30.0,-424.5594,-19.4883,-0.4616,-0.6037,633.59
High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,30.2224,103078.8199,93078.8199,-17.708,-19.6339,281.7468,-1.9259,87,30.0,1069.8715,3.2385,-0.1662,-0.1637,503.92
High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1042,11537.3124,1537.3124,0.2483,22.8603,23.2136,22.612,18,30.0,85.4062,1.2896,-0.0202,-0.0176,823.2
Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.4626,151647.5046,141647.5046,223.9309,136.571,1057.7679,-87.3599,35,30.0,4047.0716,30.2219,0.9458,0.6679,682.82
Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.3563,12474.2918,2474.2918,164.1215,143.361,55.6782,-20.7605,12,30.0,206.191,4.6399,0.8941,0.0376,637.56
Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.7889,8221.9647,-1778.0353,37.3341,19.082,-17.8089,-18.2521,27,30.0,-65.8532,-0.6596,0.3202,0.2495,50.43
Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7523,15699.7979,5699.7979,295.674,253.4657,102.7141,-42.2083,15,30.0,379.9865,6.8476,1.1615,0.1467,663.93
