Price Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,121.8823,16071.0376,6071.0376,2.0928,0.0,62.9591,-2.0928,1,30.0,6071.0376,62.9591,-0.0843,undefined,278.36
High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,5.8414,11829.8944,1829.8944,42.6649,0.0,83.9967,-42.6649,1,30.0,1829.8944,83.9967,0.6124,undefined,633.59
High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,121.8823,415700.9739,405700.9739,123.4906,66.9272,1228.0448,-56.5634,1,30.0,405700.9739,1228.0448,0.6262,undefined,503.92
High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,5.8414,21710.3425,11710.3425,187.5952,218.6402,176.8276,31.045,1,30.0,11710.3425,176.8276,1.5709,undefined,823.2
Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,111.6911,380941.9721,370941.9721,645.1044,416.5456,2770.0489,-228.5588,1,30.0,370941.9721,2770.0489,1.0967,undefined,682.82
Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,4.9843,18524.6756,8524.6756,501.403,403.5397,191.8282,-97.8633,1,30.0,8524.6756,191.8282,1.6972,undefined,637.56
Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,98.3973,12682.7423,2682.7423,165.7933,152.6088,26.8705,-13.1845,1,30.0,2682.7423,26.8705,1.3713,undefined,50.43
Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,13.9127,28175.774,18175.774,930.0985,730.4357,327.5394,-199.6628,1,30.0,18175.774,327.5394,1.3343,undefined,663.93
